Upkeep_ID,Book_ID,Employee_ID,Tools_Used,Reason_for_Upkeep,Date
39321813,66921,1016,Binding Tape,Aging and brittleness,2023-12-16
16384220,1490,1020,Glue,Water damage,2024-09-26
85197027,71949,1025,Tweezers,Faded text,2024-05-08
61472995,3708,1026,Binding Tape,Dust accumulation,2023-06-10
56885476,85184,1003,Binding Tape,Faded text,2023-07-24
79823076,84321,1020,Scissors,Aging and brittleness,2024-11-09
77332716,10610,1016,Clamps,Mold growth,2023-10-25
96076012,5220,1025,Scalpel,Cover damage,2023-02-14
55050479,54868,1016,Tweezers,Mold growth,2024-03-29
92930292,56266,1030,Tweezers,Staining,2023-08-25
29360377,66108,1018,Scalpel,Aging and brittleness,2023-03-09
98304251,99818,1030,Clamps,Staining,2024-03-11
38273278,82825,1025,Brush,Dust accumulation,2023-05-28
52560154,9243,1025,Glue,Torn pages,2024-03-12
84803866,97120,1006,Brush,Faded text,2024-07-06
25952541,24618,1003,Binding Tape,Dust accumulation,2023-06-27
55968031,24096,1016,Glue,Cover damage,2023-02-18
42860833,11043,1003,Scissors,Insect damage,2023-11-23
63963435,52688,1016,Tweezers,Loose binding,2024-01-14
56623404,36787,1020,Scalpel,Loose binding,2023-02-02
75759920,3006,1030,Glue,Dust accumulation,2023-05-05
10092849,52159,1018,Scalpel,Staining,2023-10-13
69861682,75846,1012,Binding Tape,Insect damage,2024-03-03
40370486,12143,1006,Brush,Aging and brittleness,2023-12-25
57934135,49672,1016,Scissors,Water damage,2023-12-23
56492344,50766,1006,Scissors,Aging and brittleness,2024-10-18
87032124,3847,1012,Clamps,Torn pages,2023-03-04
27132222,49480,1016,Clamps,Mold growth,2024-11-25
29622592,21628,1003,Binding Tape,Dust accumulation,2023-07-14
74711360,76211,1012,Glue,Torn pages,2024-05-07
46399812,67712,1020,Binding Tape,Mold growth,2024-05-08
75891024,20281,1018,Glue,Loose binding,2024-07-18
30802257,64131,1006,Glue,Loose binding,2023-03-02
38142293,12549,1012,Clamps,Insect damage,2024-07-15
35782999,38268,1025,Scissors,Insect damage,2024-05-06
65929560,34883,1012,Brush,Cover damage,2024-02-16
55968095,76088,1030,Clamps,Cover damage,2024-08-14
54395232,55279,1018,Binding Tape,Dust accumulation,2024-07-10
43123041,58075,1006,Brush,Aging and brittleness,2024-12-03
72221025,69956,1018,Glue,Staining,2023-04-27
50069863,97930,1026,Clamps,Faded text,2024-05-20
45613416,21341,1026,Glue,Dust accumulation,2023-09-26
74842472,2370,1006,Scissors,Mold growth,2023-05-19
90833256,80789,1018,Tweezers,Mold growth,2024-06-10
99615083,42899,1020,Glue,Torn pages,2024-05-31
95551852,29675,1030,Glue,Water damage,2023-05-14
42729832,63125,1026,Scissors,Torn pages,2024-09-27
22020465,15522,1012,Scissors,Torn pages,2024-12-22
41025906,60346,1030,Binding Tape,Mold growth,2024-07-17
64487795,89907,1012,Tweezers,Water damage,2024-11-18
29229434,72258,1030,Binding Tape,Water damage,2024-10-10
30146938,47378,1025,Binding Tape,Insect damage,2023-08-06
70386046,92804,1006,Tweezers,Torn pages,2024-12-18
29360513,70838,1003,Clamps,Cover damage,2023-01-17
61473154,18235,1003,Clamps,Dust accumulation,2024-01-15
11141509,79192,1030,Scissors,Torn pages,2023-09-02
41288070,30843,1025,Scissors,Insect damage,2024-05-13
16777611,80048,1026,Scissors,Cover damage,2023-05-03
57278871,95783,1026,Tweezers,Torn pages,2023-04-05
26476953,93107,1030,Glue,Insect damage,2024-11-19
56230299,72690,1016,Scissors,Staining,2025-01-12
62259614,72408,1020,Glue,Cover damage,2024-03-16
89653663,82235,1026,Scissors,Cover damage,2023-08-16
94765472,65058,1006,Scalpel,Water damage,2023-10-31
86507937,16399,1020,Scissors,Torn pages,2023-02-10
83231141,87450,1003,Binding Tape,Staining,2023-10-25
59244967,35573,1012,Brush,Water damage,2024-12-23
24773036,65542,1016,Brush,Insect damage,2024-03-31
56885686,46849,1018,Scalpel,Faded text,2024-04-20
33554871,90131,1026,Tweezers,Torn pages,2024-12-06
63308221,22925,1025,Brush,Insect damage,2023-12-31
51773885,57820,1025,Binding Tape,Insect damage,2023-12-10
39584189,43774,1003,Clamps,Staining,2024-11-08
71827904,26888,1026,Tweezers,Water damage,2024-06-07
14418371,95073,1018,Scissors,Loose binding,2024-08-17
16777676,24416,1012,Glue,Loose binding,2024-09-23
95683023,44297,1030,Glue,Loose binding,2024-05-07
34734543,6192,1020,Scalpel,Aging and brittleness,2023-09-04
65405398,74661,1018,Scissors,Faded text,2024-12-13
30671319,91688,1012,Brush,Aging and brittleness,2023-09-19
61342168,8431,1003,Scalpel,Torn pages,2024-04-18
28312025,14986,1012,Binding Tape,Aging and brittleness,2024-01-01
79430106,56044,1003,Glue,Loose binding,2024-02-20
18350563,41885,1016,Brush,Faded text,2024-05-19
44433896,69207,1030,Binding Tape,Torn pages,2024-09-29
85590504,44293,1020,Clamps,Mold growth,2023-11-06
99222004,18596,1020,Binding Tape,Cover damage,2023-10-29
47972853,70927,1006,Brush,Cover damage,2023-02-21
42861053,53411,1030,Scalpel,Cover damage,2024-09-05
13894144,96966,1006,Scissors,Staining,2023-09-25
98173442,95054,1012,Glue,Staining,2023-09-18
84148743,41097,1012,Scissors,Water damage,2023-08-19
98173454,71620,1016,Brush,Torn pages,2024-03-27
67109396,10267,1018,Scissors,Faded text,2024-12-27
14418453,43587,1016,Clamps,Cover damage,2023-03-12
12059159,46664,1026,Tweezers,Insect damage,2024-02-04
84935193,7157,1006,Binding Tape,Loose binding,2024-08-30
74842655,43183,1018,Brush,Staining,2023-06-06
18612770,95937,1026,Clamps,Mold growth,2023-05-05
44565027,76464,1030,Tweezers,Cover damage,2023-06-09
56623653,17846,1020,Scissors,Dust accumulation,2024-02-24
71303725,59792,1026,Scissors,Staining,2024-09-15
85852725,76502,1016,Brush,Torn pages,2024-08-26
18088501,63506,1006,Clamps,Loose binding,2025-01-02
98173494,19021,1003,Clamps,Staining,2023-02-02
76022335,74280,1025,Scissors,Torn pages,2023-11-17
92406338,71758,1030,Binding Tape,Torn pages,2023-09-23
13500995,45884,1020,Clamps,Loose binding,2023-03-20
84279875,93555,1018,Brush,Aging and brittleness,2023-06-22
77988422,8314,1020,Scalpel,Insect damage,2023-02-17
49676884,20720,1006,Scalpel,Staining,2024-06-03
84935253,79543,1026,Tweezers,Torn pages,2023-04-02
52953685,62088,1018,Clamps,Insect damage,2023-06-03
31720024,78955,1016,Scalpel,Mold growth,2024-03-08
31457887,59345,1026,Binding Tape,Torn pages,2024-07-26
70255200,42411,1030,Brush,Aging and brittleness,2024-10-22
55312992,69502,1026,Scalpel,Mold growth,2024-02-29
51380834,55782,1016,Binding Tape,Insect damage,2023-04-26
83100262,19260,1020,Clamps,Loose binding,2024-04-30
28312167,90295,1003,Scalpel,Insect damage,2023-07-13
80609901,99454,1026,Brush,Faded text,2024-07-17
90047086,76535,1025,Glue,Faded text,2024-06-17
67109487,9380,1020,Scissors,Insect damage,2023-11-03
86901360,32337,1003,Binding Tape,Aging and brittleness,2023-11-12
79561335,44302,1020,Clamps,Staining,2023-06-18
46006904,61384,1012,Glue,Mold growth,2024-01-21
51380857,92599,1025,Glue,Aging and brittleness,2023-04-12
79168121,94289,1020,Binding Tape,Mold growth,2023-08-21
94896761,96152,1025,Binding Tape,Dust accumulation,2024-05-23
10879616,47794,1020,Scissors,Faded text,2023-06-30
19792514,71118,1020,Scalpel,Loose binding,2023-11-23
10879622,23578,1018,Tweezers,Cover damage,2023-12-22
56230543,65536,1025,Tweezers,Aging and brittleness,2024-10-30
63963791,66901,1026,Clamps,Torn pages,2024-05-19
64094867,46979,1006,Tweezers,Torn pages,2024-05-23
78250643,42653,1006,Brush,Aging and brittleness,2024-03-10
84148885,54937,1012,Binding Tape,Staining,2024-03-14
61604502,49312,1006,Glue,Mold growth,2024-04-03
40895124,75747,1003,Binding Tape,Staining,2023-05-31
14025363,32300,1030,Clamps,Torn pages,2024-03-08
54788762,20649,1018,Clamps,Mold growth,2024-04-07
39322267,86556,1030,Brush,Insect damage,2024-05-10
83755681,16901,1025,Scalpel,Water damage,2023-10-21
30409381,4614,1003,Clamps,Insect damage,2023-12-05
40633001,69455,1012,Tweezers,Torn pages,2024-12-24
85328556,22451,1018,Brush,Insect damage,2023-02-21
55444141,54485,1003,Clamps,Loose binding,2024-09-26
15991474,25787,1006,Clamps,Mold growth,2024-03-12
42730163,95361,1025,Brush,Water damage,2023-07-07
86246069,51732,1012,Binding Tape,Staining,2023-04-04
76677815,35646,1012,Tweezers,Faded text,2023-12-01
60162747,7488,1026,Scissors,Torn pages,2024-03-02
27919035,8317,1025,Glue,Staining,2024-07-26
73663164,72224,1026,Scalpel,Loose binding,2024-06-22
37487294,79245,1018,Scalpel,Aging and brittleness,2024-09-07
32113343,66688,1020,Scissors,Torn pages,2024-08-10
20841152,83816,1018,Glue,Dust accumulation,2024-03-03
75760320,82918,1006,Clamps,Faded text,2024-05-12
39453379,2577,1025,Glue,Mold growth,2023-08-31
73663171,21594,1030,Binding Tape,Loose binding,2025-01-08
35259077,55291,1030,Clamps,Insect damage,2023-10-24
30409415,57297,1003,Tweezers,Torn pages,2023-04-29
46138058,98829,1026,Tweezers,Mold growth,2023-03-13
86115019,75131,1003,Tweezers,Torn pages,2023-10-19
84017868,52089,1006,Scalpel,Loose binding,2023-03-07
40370897,39499,1030,Binding Tape,Insect damage,2023-04-07
98960085,13540,1025,Glue,Dust accumulation,2023-02-25
64619227,56015,1020,Scalpel,Cover damage,2023-06-22
87032540,58628,1026,Clamps,Cover damage,2024-11-02
84148957,99011,1006,Brush,Cover damage,2024-03-16
96338654,69049,1006,Glue,Faded text,2024-11-17
49808096,3614,1030,Glue,Torn pages,2024-12-18
16909026,33299,1006,Scissors,Dust accumulation,2023-04-04
35521257,65555,1012,Tweezers,Aging and brittleness,2023-05-12
10486506,5250,1026,Scalpel,Staining,2023-06-25
74449641,11761,1006,Tweezers,Dust accumulation,2023-04-26
64750316,13151,1016,Brush,Staining,2023-04-01
49677034,54569,1025,Binding Tape,Loose binding,2023-02-20
69862127,26021,1026,Scalpel,Aging and brittleness,2024-03-18
57672435,28875,1018,Binding Tape,Faded text,2023-01-19
52298483,13521,1030,Brush,Insect damage,2023-02-01
74056437,12451,1025,Tweezers,Insect damage,2023-01-16
84017911,1171,1006,Clamps,Mold growth,2024-01-12
79561468,92429,1020,Scissors,Aging and brittleness,2023-08-30
57934603,65581,1003,Clamps,Aging and brittleness,2023-11-20
84149011,83002,1026,Scissors,Mold growth,2024-12-26
90571543,44679,1030,Tweezers,Faded text,2024-03-07
53871395,94551,1025,Binding Tape,Aging and brittleness,2024-04-27
11404071,84970,1012,Tweezers,Water damage,2023-10-06
22020904,62676,1016,Binding Tape,Water damage,2023-04-23
61735729,56495,1025,Tweezers,Loose binding,2023-10-02
92013363,39712,1030,Clamps,Faded text,2024-04-27
41157435,59607,1003,Scalpel,Staining,2025-01-02
79168315,33668,1030,Scalpel,Mold growth,2024-10-11
82182971,26867,1018,Scissors,Insect damage,2024-08-09
85328703,9820,1016,Clamps,Dust accumulation,2023-12-31
99222335,34984,1006,Clamps,Cover damage,2024-03-13
44172099,25515,1026,Glue,Loose binding,2023-03-14
73401156,36536,1030,Scalpel,Mold growth,2024-03-02
75498307,91700,1016,Binding Tape,Torn pages,2023-03-31
57410378,80912,1018,Brush,Insect damage,2024-07-24
87032657,88813,1030,Glue,Water damage,2024-01-15
34866003,29634,1026,Tweezers,Mold growth,2024-02-01
57148244,12693,1030,Clamps,Faded text,2024-12-15
11666262,33901,1016,Clamps,Insect damage,2023-08-30
31720278,21237,1030,Brush,Insect damage,2023-03-02
74187608,46259,1030,Scalpel,Insect damage,2024-03-09
90702681,50625,1003,Binding Tape,Dust accumulation,2024-05-02
41681754,91937,1006,Scissors,Staining,2024-01-31
37749594,6835,1003,Clamps,Loose binding,2023-12-07
10093404,8148,1003,Clamps,Water damage,2024-12-08
43385695,32917,1030,Tweezers,Loose binding,2023-02-13
12845919,79698,1026,Clamps,Insect damage,2024-07-09
98304867,76252,1025,Glue,Faded text,2024-09-06
53085032,60126,1020,Brush,Loose binding,2024-02-08
24904554,39818,1003,Binding Tape,Mold growth,2024-02-24
42992498,72482,1003,Binding Tape,Aging and brittleness,2024-10-24
35914614,44228,1020,Scalpel,Staining,2024-11-06
33555325,73118,1003,Binding Tape,Aging and brittleness,2024-09-19
50856829,45236,1026,Binding Tape,Torn pages,2023-11-29
36045693,21434,1020,Tweezers,Dust accumulation,2023-12-11
58196864,89895,1025,Scissors,Dust accumulation,2023-03-10
20054914,44257,1006,Tweezers,Mold growth,2024-07-16
97649538,55129,1003,Glue,Staining,2024-05-24
98042759,45600,1006,Clamps,Insect damage,2024-08-03
49808263,71360,1025,Clamps,Loose binding,2023-04-05
56624009,15950,1018,Glue,Water damage,2024-07-13
37487499,62929,1025,Clamps,Water damage,2023-04-18
39060378,41874,1026,Tweezers,Staining,2023-04-29
84673437,23001,1020,Tweezers,Faded text,2023-07-25
18088862,13947,1026,Clamps,Faded text,2024-05-02
20841376,76489,1003,Scissors,Staining,2023-08-12
24773538,91821,1030,Scissors,Water damage,2024-02-15
41157545,29870,1012,Glue,Insect damage,2023-06-18
78381997,56396,1025,Binding Tape,Faded text,2025-01-11
19661743,49161,1006,Clamps,Mold growth,2024-07-04
32375738,44460,1003,Tweezers,Water damage,2024-03-21
13239233,42670,1006,Brush,Aging and brittleness,2024-09-12
79954882,79265,1012,Binding Tape,Staining,2024-11-07
23724995,42861,1003,Binding Tape,Mold growth,2024-07-13
78775236,33978,1016,Tweezers,Water damage,2024-04-25
10617801,65410,1018,Scissors,Mold growth,2024-12-01
95028171,69229,1003,Clamps,Water damage,2023-02-17
93062092,23731,1003,Brush,Cover damage,2024-03-05
78775246,23847,1026,Brush,Torn pages,2024-09-27
78250960,52094,1003,Tweezers,Insect damage,2024-11-24
38798289,39135,1006,Binding Tape,Faded text,2024-12-12
75236310,22197,1006,Binding Tape,Loose binding,2023-10-14
33555420,4592,1025,Scissors,Staining,2024-01-07
16253917,40294,1025,Binding Tape,Cover damage,2024-01-08
93193182,41054,1020,Tweezers,Mold growth,2023-11-07
78513120,25090,1026,Brush,Cover damage,2023-11-01
69600226,65995,1026,Clamps,Insect damage,2023-07-23
12846051,74535,1003,Scissors,Dust accumulation,2023-11-12
14549987,76081,1025,Glue,Dust accumulation,2023-05-11
41157604,80997,1018,Brush,Loose binding,2024-04-03
45614060,15680,1020,Glue,Torn pages,2024-03-01
74187757,64174,1016,Scalpel,Loose binding,2023-04-09
31327214,8704,1020,Clamps,Loose binding,2024-10-26
59638767,91459,1020,Binding Tape,Mold growth,2024-06-11
15598580,16795,1018,Scalpel,Torn pages,2023-08-19
55444470,55619,1006,Scissors,Dust accumulation,2024-07-05
66061305,82790,1006,Scalpel,Dust accumulation,2023-10-19
66192379,56468,1012,Binding Tape,Cover damage,2024-05-29
54133755,6682,1025,Tweezers,Faded text,2023-03-22
70910973,97077,1018,Brush,Torn pages,2023-08-07
55444479,37779,1020,Scissors,Insect damage,2024-06-08
74318852,68993,1016,Tweezers,Staining,2024-05-22
40764428,45110,1025,Binding Tape,Torn pages,2024-05-05
30278669,74618,1025,Clamps,Loose binding,2024-02-14
68289553,55022,1025,Glue,Cover damage,2024-12-13
96470042,29233,1016,Tweezers,Torn pages,2023-01-31
54658078,25626,1030,Brush,Cover damage,2023-05-27
20579359,8843,1020,Scalpel,Dust accumulation,2024-02-01
38405163,31259,1006,Tweezers,Dust accumulation,2023-11-21
29623341,82749,1026,Tweezers,Cover damage,2023-05-17
76416046,53452,1012,Clamps,Faded text,2024-09-18
94372917,35148,1003,Binding Tape,Torn pages,2023-02-19
16909365,83403,1025,Brush,Insect damage,2024-04-20
60556348,41221,1018,Scalpel,Dust accumulation,2024-03-23
61080642,90178,1016,Glue,Water damage,2024-08-26
40764484,74515,1003,Scalpel,Water damage,2023-12-23
62260293,1433,1030,Binding Tape,Dust accumulation,2023-09-30
27919432,21442,1020,Clamps,Dust accumulation,2023-06-25
79168585,54447,1012,Brush,Dust accumulation,2024-08-08
34997336,12086,1025,Scissors,Mold growth,2023-11-30
18089051,46535,1012,Scalpel,Staining,2023-11-21
80086108,15723,1016,Glue,Insect damage,2024-02-04
99615838,74545,1012,Brush,Insect damage,2024-11-05
20710496,46993,1012,Binding Tape,Dust accumulation,2023-10-08
12846177,2117,1006,Glue,Mold growth,2023-02-13
37225573,48826,1025,Binding Tape,Aging and brittleness,2023-08-12
95028329,50260,1018,Scalpel,Water damage,2023-10-30
59245675,92555,1003,Brush,Loose binding,2023-01-24
47842413,6997,1020,Clamps,Cover damage,2024-01-06
14943350,28844,1018,Brush,Torn pages,2024-09-03
22414454,11685,1026,Tweezers,Staining,2023-03-27
21890167,97824,1012,Glue,Aging and brittleness,2024-02-10
89916544,2646,1018,Clamps,Cover damage,2024-11-11
84804746,61415,1026,Binding Tape,Mold growth,2024-03-02
77071501,10273,1003,Scalpel,Loose binding,2023-02-20
46007440,69221,1006,Scissors,Mold growth,2023-10-04
58459282,91541,1026,Tweezers,Insect damage,2024-10-11
75236500,52847,1030,Glue,Aging and brittleness,2024-01-30
30934164,90580,1030,Binding Tape,Mold growth,2024-03-11
49677462,80993,1003,Brush,Insect damage,2023-05-17
36045974,44651,1006,Binding Tape,Aging and brittleness,2023-07-19
13108373,24913,1003,Binding Tape,Mold growth,2024-09-03
35390620,82899,1026,Tweezers,Cover damage,2024-06-13
31589532,41879,1006,Scissors,Insect damage,2024-05-31
43386015,15874,1012,Scalpel,Insect damage,2024-08-09
63440035,54213,1020,Glue,Dust accumulation,2023-10-07
87819442,29091,1020,Tweezers,Aging and brittleness,2024-01-02
37356725,23596,1025,Tweezers,Faded text,2023-07-13
16516287,10553,1003,Brush,Aging and brittleness,2024-04-20
88736959,66960,1006,Tweezers,Faded text,2024-09-01
96339140,86845,1012,Glue,Staining,2023-12-04
85722311,81662,1026,Tweezers,Water damage,2023-12-22
63571144,80588,1012,Binding Tape,Cover damage,2023-11-08
37749961,54027,1030,Brush,Dust accumulation,2023-04-02
11797707,53530,1003,Glue,Dust accumulation,2024-02-04
88212684,67829,1003,Glue,Cover damage,2023-04-23
48235724,35842,1018,Scalpel,Loose binding,2023-05-08
68551886,36162,1026,Tweezers,Loose binding,2023-01-19
54396111,9735,1018,Glue,Mold growth,2024-04-16
41944273,77446,1003,Binding Tape,Aging and brittleness,2024-12-29
61474011,35914,1003,Binding Tape,Mold growth,2024-06-05
60818658,42098,1003,Tweezers,Loose binding,2024-07-21
17171682,29937,1025,Brush,Torn pages,2023-05-21
34604261,37169,1016,Brush,Insect damage,2023-12-24
82445542,49394,1006,Clamps,Faded text,2023-03-23
27264231,71781,1018,Tweezers,Loose binding,2024-08-28
28312811,34446,1016,Binding Tape,Water damage,2024-02-05
39716075,7202,1025,Scalpel,Dust accumulation,2024-03-18
23856369,70063,1018,Scalpel,Insect damage,2023-06-26
76285170,23916,1020,Brush,Faded text,2023-11-17
65799411,78499,1018,Brush,Cover damage,2024-12-27
72615159,95910,1006,Scalpel,Loose binding,2023-03-05
28050686,5529,1025,Tweezers,Dust accumulation,2023-02-06
98567423,44724,1026,Clamps,Dust accumulation,2024-05-15
73925888,77694,1026,Scissors,Dust accumulation,2024-11-05
65537283,31911,1012,Binding Tape,Torn pages,2023-04-19
39322883,18789,1018,Clamps,Insect damage,2023-05-28
68420869,78856,1020,Tweezers,Water damage,2024-06-08
54002951,81122,1003,Scalpel,Dust accumulation,2024-10-04
95290632,2907,1012,Binding Tape,Loose binding,2023-03-09
69600529,54928,1003,Clamps,Dust accumulation,2024-08-24
42075410,78979,1003,Glue,Torn pages,2023-04-19
95946003,32141,1026,Scalpel,Faded text,2024-02-04
42730771,9799,1018,Clamps,Cover damage,2023-04-13
41682198,79201,1012,Tweezers,Loose binding,2024-03-10
76416284,98831,1026,Binding Tape,Mold growth,2024-03-07
30803230,9420,1003,Binding Tape,Dust accumulation,2024-09-30
28706084,1393,1003,Glue,Insect damage,2023-02-21
74450213,8542,1006,Glue,Aging and brittleness,2024-06-29
64750887,13182,1026,Clamps,Dust accumulation,2024-10-23
55182631,51444,1018,Scissors,Dust accumulation,2023-06-26
67634478,56333,1025,Brush,Mold growth,2023-04-04
78251313,45080,1026,Binding Tape,Staining,2024-01-23
85853493,71477,1030,Binding Tape,Faded text,2023-11-03
91096379,23186,1003,Tweezers,Dust accumulation,2023-04-06
93717823,35426,1026,Brush,Aging and brittleness,2023-11-20
23070016,86574,1012,Brush,Loose binding,2023-11-24
23201088,57401,1030,Binding Tape,Faded text,2024-06-21
81790278,59711,1030,Brush,Insect damage,2024-05-19
13370702,53102,1006,Scalpel,Torn pages,2024-12-27
84280655,34167,1020,Binding Tape,Mold growth,2024-05-10
58590543,27466,1012,Glue,Faded text,2023-11-10
38798678,65746,1026,Tweezers,Cover damage,2023-11-13
39847255,31689,1016,Scalpel,Torn pages,2023-02-28
23332185,42583,1006,Glue,Aging and brittleness,2023-06-22
31065435,48334,1030,Glue,Staining,2023-11-06
67110242,48003,1018,Scissors,Water damage,2023-12-21
64095587,1995,1006,Scalpel,Staining,2023-03-21
58459503,91002,1012,Clamps,Staining,2023-02-28
83494257,43349,1018,Scalpel,Staining,2023-10-17
23987576,37665,1006,Tweezers,Insect damage,2023-10-10
88081786,90749,1026,Clamps,Water damage,2023-10-07
99878275,66351,1016,Brush,Staining,2024-01-03
36439428,31479,1003,Brush,Faded text,2023-09-19
62129541,76515,1018,Tweezers,Loose binding,2024-10-21
87164294,92926,1006,Clamps,Torn pages,2023-11-18
69338507,74722,1016,Binding Tape,Insect damage,2025-01-06
89523597,89654,1012,Clamps,Dust accumulation,2023-10-09
21628305,60508,1018,Glue,Water damage,2024-11-05
46925204,68413,1003,Scissors,Staining,2023-04-19
40371609,81838,1012,Binding Tape,Water damage,2023-06-28
46400922,6816,1030,Scalpel,Insect damage,2023-12-04
54920603,84793,1018,Brush,Aging and brittleness,2024-08-15
79693220,21578,1020,Scissors,Torn pages,2024-11-07
58197413,23010,1016,Brush,Insect damage,2024-10-10
40895911,84821,1012,Tweezers,Insect damage,2023-07-08
24642987,43113,1006,Glue,Torn pages,2023-09-07
62784940,36177,1030,Scalpel,Dust accumulation,2024-04-20
76154286,71310,1012,Brush,Insect damage,2023-05-15
27657647,88256,1018,Binding Tape,Cover damage,2023-07-15
26215859,94699,1026,Scalpel,Insect damage,2023-08-16
60032438,59420,1006,Glue,Water damage,2024-10-06
55051710,19509,1020,Scissors,Torn pages,2023-09-10
93455810,83727,1003,Brush,Dust accumulation,2024-01-19
84673988,32046,1012,Brush,Cover damage,2025-01-04
76940743,56367,1012,Tweezers,Aging and brittleness,2023-07-06
27657684,98087,1025,Glue,Loose binding,2023-05-24
11797981,90963,1018,Tweezers,Faded text,2023-04-10
87819744,92105,1025,Brush,Staining,2023-06-08
35522018,32165,1025,Binding Tape,Loose binding,2024-11-02
42730982,26082,1003,Scissors,Dust accumulation,2023-05-17
74974698,29638,1030,Binding Tape,Dust accumulation,2023-03-20
15336941,47707,1018,Brush,Insect damage,2024-01-24
62653933,42872,1026,Glue,Mold growth,2024-07-18
38536687,29878,1006,Tweezers,Dust accumulation,2024-04-07
22021617,71192,1016,Binding Tape,Cover damage,2024-11-15
53609977,42533,1018,Clamps,Loose binding,2023-04-04
67896825,16838,1006,Binding Tape,Loose binding,2023-11-25
87819776,63434,1020,Glue,Dust accumulation,2024-11-18
20448772,58877,1006,Scissors,Cover damage,2023-12-01
66192905,1030,1026,Binding Tape,Mold growth,2024-02-16
70256140,14797,1020,Glue,Cover damage,2023-07-24
