ID,Rarity_Level
173,Common
174,Very Rare
175,Legendary
176,Very Rare
177,Legendary
178,Rare
179,Rare
180,Rare
181,Rare
182,Rare
183,Very Rare
184,Legendary
185,Rare
186,Common
187,Legendary
188,Very Rare
189,Common
190,Rare
191,Very Rare
192,Very Rare
193,Rare
194,Very Rare
195,Legendary
196,Common
197,Very Rare
198,Rare
199,Legendary
200,Rare
201,Legendary
202,Common
203,Rare
204,Legendary
205,Common
206,Legendary
207,Legendary
208,Rare
209,Legendary
210,Rare
211,Common
212,Very Rare
213,Rare
214,Common
215,Very Rare
216,Legendary
217,Legendary
218,Common
219,Very Rare
220,Legendary
221,Rare
222,Rare
223,Common
224,Very Rare
225,Legendary
226,Rare
227,Legendary
228,Rare
229,Very Rare
230,Very Rare
231,Legendary
232,Rare
233,Legendary
234,Very Rare
235,Legendary
236,Rare
237,Common
238,Common
239,Common
240,Legendary
241,Legendary
242,Common
243,Legendary
244,Common
245,Very Rare
246,Very Rare
247,Common
248,Very Rare
249,Common
250,Legendary
251,Common
252,Legendary
253,Very Rare
254,Rare
255,Rare
256,Rare
257,Very Rare
258,Common
259,Very Rare
260,Common
261,Legendary
262,Common
263,Legendary
264,Common
265,Common
266,Rare
267,Very Rare
268,Rare
269,Legendary
270,Common
271,Rare
272,Very Rare
273,Very Rare
274,Rare
275,Common
276,Very Rare
277,Common
278,Legendary
279,Common
280,Rare
281,Common
282,Legendary
283,Common
284,Legendary
285,Common
286,Legendary
287,Very Rare
288,Legendary
289,Rare
290,Very Rare
291,Common
292,Common
293,Rare
294,Very Rare
295,Rare
296,Legendary
297,Common
298,Common
299,Common
300,Common
301,Legendary
302,Common
303,Very Rare
304,Very Rare
305,Common
306,Legendary
307,Very Rare
308,Rare
309,Common
310,Legendary
311,Rare
312,Very Rare
313,Common
314,Very Rare
315,Rare
316,Legendary
317,Very Rare
318,Legendary
319,Rare
320,Very Rare
321,Very Rare
322,Rare
323,Legendary
324,Legendary
325,Common
326,Very Rare
327,Very Rare
328,Rare
329,Rare
330,Rare
331,Very Rare
332,Rare
333,Rare
334,Rare
335,Common
336,Rare
337,Legendary
338,Rare
339,Legendary
340,Rare
341,Rare
342,Rare
343,Legendary
344,Very Rare
345,Rare
346,Rare
347,Common
348,Legendary
349,Common
350,Legendary
351,Very Rare
352,Common
353,Rare
354,Legendary
355,Rare
356,Legendary
357,Common
358,Very Rare
359,Common
360,Common
361,Legendary
362,Legendary
363,Very Rare
364,Common
365,Legendary
366,Rare
367,Very Rare
368,Very Rare
369,Rare
370,Rare
371,Very Rare
372,Rare
373,Very Rare
374,Very Rare
375,Very Rare
376,Rare
377,Common
378,Rare
379,Common
380,Common
381,Legendary
382,Very Rare
383,Rare
384,Common
385,Legendary
386,Common
387,Legendary
388,Very Rare
389,Legendary
390,Rare
391,Rare
392,Common
393,Common
394,Common
395,Rare
396,Very Rare
397,Rare
398,Rare
399,Legendary
400,Legendary
401,Rare
402,Very Rare
403,Very Rare
404,Legendary
405,Rare
406,Very Rare
407,Common
408,Very Rare
409,Rare
410,Very Rare
411,Legendary
412,Rare
413,Legendary
414,Legendary
415,Legendary
416,Rare
417,Common
418,Very Rare
419,Common
420,Legendary
421,Legendary
422,Very Rare
423,Common
424,Rare
425,Common
426,Common
427,Rare
428,Legendary
429,Common
430,Common
431,Common
432,Rare
433,Very Rare
434,Common
435,Common
436,Very Rare
437,Rare
438,Legendary
439,Very Rare
440,Very Rare
441,Rare
442,Rare
443,Common
444,Very Rare
445,Rare
446,Legendary
447,Common
448,Common
449,Rare
450,Legendary
451,Very Rare
452,Legendary
453,Legendary
454,Common
455,Common
456,Very Rare
457,Very Rare
458,Legendary
459,Common
460,Very Rare
461,Very Rare
462,Common
463,Rare
464,Very Rare
465,Very Rare
466,Common
467,Very Rare
468,Very Rare
469,Very Rare
470,Legendary
471,Rare
472,Legendary
473,Legendary
474,Common
475,Common
476,Rare
477,Common
478,Legendary
479,Common
480,Rare
481,Very Rare
482,Rare
483,Legendary
484,Legendary
485,Very Rare
486,Very Rare
487,Very Rare
488,Rare
489,Common
490,Common
491,Very Rare
492,Very Rare
493,Common
494,Very Rare
495,Legendary
496,Legendary
497,Very Rare
498,Common
499,Very Rare
500,Very Rare
501,Rare
502,Legendary
503,Common
504,Very Rare
505,Common
506,Legendary
507,Very Rare
508,Legendary
509,Rare
510,Legendary
511,Very Rare
512,Very Rare
513,Rare
514,Very Rare
515,Very Rare
516,Very Rare
517,Legendary
518,Legendary
519,Rare
520,Legendary
521,Very Rare
522,Rare
523,Rare
524,Very Rare
525,Common
526,Rare
527,Very Rare
528,Common
529,Rare
530,Rare
531,Rare
532,Very Rare
533,Legendary
534,Rare
535,Very Rare
536,Very Rare
537,Legendary
538,Rare
539,Common
540,Common
541,Common
542,Rare
543,Very Rare
544,Very Rare
545,Very Rare
546,Common
547,Rare
548,Very Rare
549,Rare
550,Very Rare
551,Very Rare
552,Rare
553,Common
554,Common
555,Common
556,Common
557,Rare
558,Rare
559,Common
560,Legendary
561,Legendary
562,Rare
563,Very Rare
564,Very Rare
565,Legendary
566,Very Rare
567,Legendary
568,Rare
569,Very Rare
570,Very Rare
571,Common
572,Common
573,Common
574,Common
575,Common
576,Very Rare
577,Common
578,Common
579,Legendary
580,Rare
581,Legendary
582,Rare
583,Very Rare
584,Very Rare
585,Very Rare
586,Common
587,Common
588,Rare
589,Very Rare
590,Rare
591,Legendary
592,Very Rare
593,Common
594,Common
595,Very Rare
596,Very Rare
597,Common
598,Common
599,Legendary
600,Legendary
601,Rare
602,Very Rare
603,Common
604,Legendary
605,Rare
606,Common
607,Legendary
608,Rare
609,Rare
610,Common
611,Rare
612,Legendary
613,Legendary
614,Rare
615,Common
616,Legendary
617,Legendary
618,Legendary
619,Common
620,Rare
621,Common
622,Legendary
623,Rare
624,Very Rare
625,Very Rare
626,Rare
627,Very Rare
628,Rare
629,Rare
630,Rare
631,Common
632,Very Rare
633,Legendary
634,Rare
635,Very Rare
636,Legendary
637,Common
638,Rare
639,Common
640,Rare
641,Rare
642,Rare
643,Legendary
644,Legendary
645,Rare
646,Legendary
647,Legendary
648,Very Rare
649,Very Rare
650,Legendary
651,Very Rare
652,Common
653,Very Rare
654,Common
655,Rare
656,Legendary
657,Common
658,Rare
659,Common
660,Legendary
661,Rare
662,Rare
663,Very Rare
664,Rare
665,Legendary
666,Rare
667,Rare
668,Legendary
669,Common
670,Legendary
671,Rare
672,Rare
673,Very Rare
674,Common
675,Rare
676,Common
677,Legendary
678,Legendary
679,Legendary
680,Common
681,Common
682,Legendary
683,Very Rare
684,Legendary
685,Rare
686,Rare
687,Common
688,Legendary
689,Legendary
690,Common
691,Common
692,Legendary
693,Rare
694,Rare
695,Rare
696,Legendary
697,Common
698,Very Rare
699,Rare
700,Common
701,Common
702,Common
703,Legendary
704,Legendary
705,Very Rare
706,Common
707,Rare
708,Common
709,Legendary
710,Rare
711,Legendary
712,Legendary
713,Common
714,Legendary
715,Legendary
716,Common
717,Legendary
718,Common
719,Very Rare
720,Common
721,Legendary
722,Legendary
723,Legendary
724,Legendary
725,Rare
726,Very Rare
727,Rare
728,Very Rare
729,Rare
730,Rare
731,Rare
732,Rare
733,Rare
734,Common
735,Rare
736,Common
737,Common
738,Rare
739,Rare
740,Very Rare
741,Common
742,Very Rare
743,Legendary
744,Common
745,Legendary
746,Very Rare
747,Very Rare
748,Very Rare
749,Common
750,Rare
751,Rare
752,Common
753,Common
754,Rare
755,Very Rare
756,Rare
757,Rare
758,Legendary
759,Legendary
760,Common
761,Rare
762,Rare
763,Rare
764,Very Rare
765,Rare
766,Legendary
767,Very Rare
768,Legendary
769,Legendary
770,Rare
771,Very Rare
772,Common
773,Legendary
774,Rare
775,Rare
776,Legendary
777,Common
778,Rare
779,Rare
780,Rare
781,Legendary
782,Common
783,Very Rare
784,Very Rare
785,Rare
786,Common
787,Very Rare
788,Very Rare
789,Legendary
790,Rare
791,Rare
792,Very Rare
793,Legendary
794,Very Rare
795,Very Rare
796,Very Rare
797,Common
798,Legendary
799,Legendary
800,Common
801,Rare
802,Common
803,Very Rare
804,Common
805,Rare
806,Rare
807,Legendary
808,Very Rare
809,Legendary
810,Very Rare
811,Common
812,Legendary
813,Rare
814,Legendary
815,Rare
816,Legendary
817,Very Rare
818,Common
819,Legendary
820,Legendary
821,Legendary
822,Rare
823,Legendary
824,Very Rare
825,Legendary
826,Common
827,Rare
828,Rare
829,Rare
830,Common
831,Rare
832,Legendary
833,Rare
834,Very Rare
835,Legendary
836,Common
837,Legendary
838,Legendary
839,Rare
840,Very Rare
841,Legendary
842,Rare
843,Very Rare
844,Legendary
845,Very Rare
846,Legendary
847,Rare
848,Very Rare
849,Rare
850,Legendary
851,Common
852,Legendary
853,Very Rare
854,Rare
855,Very Rare
856,Rare
857,Legendary
858,Legendary
859,Rare
860,Rare
861,Rare
862,Common
863,Rare
864,Rare
865,Very Rare
866,Common
867,Rare
868,Common
869,Legendary
870,Very Rare
871,Common
872,Legendary
873,Rare
874,Legendary
875,Very Rare
876,Very Rare
877,Very Rare
878,Legendary
879,Very Rare
880,Common
881,Common
882,Common
883,Very Rare
884,Common
885,Common
886,Very Rare
887,Common
888,Legendary
889,Legendary
890,Very Rare
891,Common
892,Legendary
893,Rare
894,Common
895,Legendary
896,Legendary
897,Legendary
898,Legendary
899,Very Rare
900,Legendary
901,Legendary
902,Rare
903,Very Rare
904,Legendary
905,Common
906,Very Rare
907,Rare
908,Common
909,Very Rare
910,Very Rare
911,Very Rare
912,Common
913,Rare
914,Common
915,Legendary
916,Very Rare
917,Legendary
918,Common
919,Very Rare
920,Legendary
921,Very Rare
922,Common
923,Common
924,Legendary
925,Very Rare
926,Very Rare
927,Rare
928,Common
929,Very Rare
930,Very Rare
931,Common
932,Rare
933,Common
934,Common
935,Very Rare
936,Legendary
937,Rare
938,Common
939,Common
940,Legendary
941,Common
942,Legendary
943,Common
944,Rare
945,Very Rare
946,Rare
947,Very Rare
948,Very Rare
949,Common
950,Very Rare
951,Legendary
952,Very Rare
953,Very Rare
954,Rare
955,Very Rare
956,Rare
957,Very Rare
958,Rare
959,Legendary
960,Legendary
961,Common
962,Common
963,Rare
964,Very Rare
965,Common
966,Common
967,Legendary
968,Common
969,Rare
970,Common
971,Rare
972,Very Rare
973,Legendary
974,Common
975,Legendary
976,Legendary
977,Legendary
978,Common
979,Common
980,Common
981,Common
982,Legendary
983,Legendary
984,Very Rare
985,Legendary
986,Rare
987,Common
988,Common
989,Legendary
990,Common
991,Rare
992,Legendary
993,Rare
994,Very Rare
995,Common
996,Legendary
997,Legendary
998,Rare
999,Very Rare
1000,Rare
1001,Rare
1002,Legendary
1003,Rare
1004,Very Rare
1005,Common
1006,Legendary
1007,Rare
1008,Rare
1009,Rare
1010,Rare
1011,Common
1012,Common
1013,Rare
1014,Common
1015,Legendary
1016,Common
1017,Common
1018,Very Rare
1019,Common
1020,Legendary
1021,Legendary
1022,Common
1023,Legendary
1024,Legendary
1025,Rare
1026,Rare
1027,Common
1028,Legendary
1029,Common
1030,Legendary
1031,Very Rare
1032,Very Rare
1033,Very Rare
1034,Rare
1035,Legendary
1036,Legendary
1037,Legendary
1038,Very Rare
1039,Rare
1040,Rare
1041,Very Rare
1042,Legendary
1043,Legendary
1044,Common
1045,Rare
1046,Common
1047,Rare
1048,Common
1049,Rare
1050,Very Rare
1051,Very Rare
1052,Very Rare
1053,Rare
1054,Legendary
1055,Common
1056,Common
1057,Legendary
1058,Legendary
1059,Rare
1060,Common
1061,Very Rare
1062,Rare
1063,Very Rare
1064,Common
1065,Very Rare
1066,Rare
1067,Very Rare
1068,Common
1069,Rare
1070,Very Rare
1071,Rare
1072,Common
1073,Rare
1074,Legendary
1075,Very Rare
1076,Very Rare
1077,Common
1078,Legendary
1079,Very Rare
1080,Legendary
1081,Legendary
1082,Legendary
1083,Rare
1084,Very Rare
1085,Very Rare
1086,Very Rare
1087,Very Rare
1088,Common
1089,Legendary
1090,Very Rare
1091,Legendary
1092,Very Rare
1093,Common
1094,Rare
1095,Very Rare
1096,Very Rare
1097,Very Rare
1098,Rare
1099,Legendary
1100,Common
1101,Very Rare
1102,Very Rare
1103,Very Rare
1104,Rare
1105,Rare
1106,Common
1107,Very Rare
1108,Common
1109,Common
1110,Common
1111,Legendary
1112,Rare
1113,Common
1114,Rare
1115,Common
1116,Rare
1117,Rare
1118,Common
1119,Rare
1120,Legendary
1121,Very Rare
1122,Legendary
1123,Common
1124,Common
1125,Common
1126,Common
1127,Rare
1128,Common
1129,Very Rare
1130,Common
1131,Rare
1132,Rare
1133,Common
1134,Common
1135,Common
1136,Very Rare
1137,Common
1138,Legendary
1139,Legendary
1140,Legendary
1141,Common
1142,Very Rare
1143,Very Rare
1144,Common
1145,Legendary
1146,Common
1147,Common
1148,Very Rare
1149,Rare
1150,Very Rare
1151,Rare
1152,Rare
1153,Rare
1154,Common
1155,Very Rare
1156,Rare
1157,Legendary
1158,Legendary
1159,Legendary
1160,Rare
1161,Common
1162,Legendary
1163,Very Rare
1164,Very Rare
1165,Rare
1166,Legendary
1167,Legendary
1168,Legendary
1169,Legendary
1170,Very Rare
1171,Very Rare
1172,Legendary
1173,Rare
1174,Very Rare
1175,Very Rare
1176,Common
1177,Very Rare
1178,Legendary
1179,Common
1180,Very Rare
1181,Very Rare
1182,Legendary
1183,Very Rare
1184,Common
1185,Very Rare
1186,Common
1187,Common
1188,Legendary
1189,Common
1190,Rare
1191,Legendary
1192,Rare
1193,Legendary
1194,Very Rare
1195,Rare
1196,Common
1197,Common
1198,Very Rare
1199,Very Rare
1200,Common
1201,Common
1202,Legendary
1203,Common
1204,Common
1205,Common
1206,Common
1207,Common
1208,Legendary
1209,Very Rare
1210,Legendary
1211,Very Rare
1212,Very Rare
1213,Very Rare
1214,Very Rare
1215,Very Rare
1216,Rare
1217,Very Rare
1218,Very Rare
1219,Legendary
1220,Rare
1221,Rare
1222,Legendary
1223,Common
1224,Legendary
1225,Rare
1226,Legendary
1227,Legendary
1228,Rare
1229,Very Rare
1230,Very Rare
1231,Common
1232,Common
1233,Legendary
1234,Very Rare
1235,Legendary
1236,Common
1237,Common
1238,Rare
1239,Common
1240,Rare
1241,Common
1242,Common
1243,Legendary
1244,Very Rare
1245,Rare
1246,Very Rare
1247,Common
1248,Legendary
1249,Very Rare
1250,Rare
1251,Very Rare
1252,Rare
1253,Rare
1254,Common
1255,Very Rare
1256,Rare
1257,Legendary
1258,Legendary
1259,Very Rare
1260,Common
1261,Rare
1262,Very Rare
1263,Common
1264,Very Rare
1265,Rare
1266,Legendary
1267,Very Rare
1268,Common
1269,Very Rare
1270,Very Rare
1271,Rare
1272,Rare
1273,Rare
1274,Rare
1275,Very Rare
1276,Common
1277,Legendary
1278,Rare
1279,Common
1280,Rare
1281,Common
1282,Common
1283,Common
1284,Common
1285,Common
1286,Legendary
1287,Very Rare
1288,Rare
1289,Common
1290,Rare
1291,Common
1292,Common
1293,Common
1294,Rare
1295,Very Rare
1296,Legendary
1297,Common
1298,Common
1299,Very Rare
1300,Common
1301,Legendary
1302,Very Rare
1303,Rare
1304,Legendary
1305,Rare
1306,Common
1307,Common
1308,Legendary
1309,Common
1310,Rare
1311,Common
1312,Very Rare
1313,Rare
1314,Legendary
1315,Very Rare
1316,Legendary
1317,Rare
1318,Common
1319,Very Rare
1320,Legendary
1321,Very Rare
1322,Legendary
1323,Common
1324,Common
1325,Rare
1326,Legendary
1327,Common
1328,Common
1329,Very Rare
1330,Common
1331,Common
1332,Legendary
1333,Very Rare
1334,Very Rare
1335,Legendary
1336,Legendary
1337,Legendary
1338,Legendary
1339,Legendary
1340,Rare
1341,Legendary
1342,Legendary
1343,Legendary
1344,Common
1345,Very Rare
1346,Common
1347,Very Rare
1348,Rare
1349,Very Rare
1350,Common
1351,Legendary
1352,Legendary
1353,Very Rare
1354,Very Rare
1355,Rare
1356,Legendary
1357,Rare
1358,Very Rare
1359,Very Rare
1360,Very Rare
1361,Common
1362,Rare
1363,Legendary
1364,Common
1365,Legendary
1366,Legendary
1367,Common
1368,Rare
1369,Rare
1370,Common
1371,Rare
1372,Common
1373,Common
1374,Legendary
1375,Very Rare
1376,Common
1377,Common
1378,Rare
1379,Common
1380,Very Rare
1381,Legendary
1382,Legendary
1383,Very Rare
1384,Legendary
1385,Rare
1386,Rare
1387,Rare
1388,Very Rare
1389,Rare
1390,Common
1391,Very Rare
1392,Common
1393,Common
1394,Common
1395,Common
1396,Rare
1397,Very Rare
1398,Very Rare
1399,Common
1400,Legendary
1401,Rare
1402,Very Rare
1403,Legendary
1404,Common
1405,Rare
1406,Common
1407,Common
1408,Common
1409,Common
1410,Rare
1411,Legendary
1412,Legendary
1413,Legendary
1414,Very Rare
1415,Legendary
1416,Very Rare
1417,Common
1418,Common
1419,Common
1420,Very Rare
1421,Rare
1422,Very Rare
1423,Common
1424,Common
1425,Very Rare
1426,Legendary
1427,Legendary
1428,Very Rare
1429,Legendary
1430,Rare
1431,Common
1432,Common
1433,Rare
1434,Legendary
1435,Legendary
1436,Very Rare
1437,Legendary
1438,Very Rare
1439,Rare
1440,Very Rare
1441,Common
1442,Common
1443,Common
1444,Rare
1445,Common
1446,Common
1447,Legendary
1448,Rare
1449,Legendary
1450,Rare
1451,Legendary
1452,Rare
1453,Rare
1454,Legendary
1455,Common
1456,Legendary
1457,Legendary
1458,Common
1459,Common
1460,Legendary
1461,Legendary
1462,Common
1463,Very Rare
1464,Legendary
1465,Rare
1466,Legendary
1467,Very Rare
1468,Very Rare
1469,Common
1470,Very Rare
1471,Legendary
1472,Common
1473,Rare
1474,Rare
1475,Very Rare
1476,Very Rare
1477,Rare
1478,Very Rare
1479,Very Rare
1480,Legendary
1481,Rare
1482,Rare
1483,Legendary
1484,Rare
1485,Legendary
1486,Legendary
1487,Common
1488,Legendary
1489,Legendary
1490,Common
1491,Legendary
1492,Very Rare
1493,Rare
1494,Legendary
1495,Rare
1496,Very Rare
1497,Rare
1498,Common
1499,Rare
1500,Rare
1501,Legendary
1502,Very Rare
1503,Rare
1504,Rare
1505,Legendary
1506,Rare
1507,Common
1508,Very Rare
1509,Common
1510,Rare
1511,Very Rare
1512,Legendary
1513,Very Rare
1514,Common
1515,Very Rare
1516,Rare
1517,Legendary
1518,Legendary
1519,Common
1520,Very Rare
1521,Legendary
1522,Common
1523,Rare
1524,Common
1525,Rare
1526,Common
1527,Very Rare
1528,Legendary
1529,Rare
1530,Rare
1531,Common
1532,Legendary
1533,Legendary
1534,Common
1535,Very Rare
1536,Very Rare
1537,Common
1538,Common
1539,Legendary
1540,Common
1541,Rare
1542,Legendary
1543,Legendary
1544,Common
1545,Very Rare
1546,Common
1547,Legendary
1548,Common
1549,Legendary
1550,Rare
1551,Legendary
1552,Very Rare
1553,Very Rare
1554,Rare
1555,Rare
1556,Rare
1557,Legendary
1558,Rare
1559,Common
1560,Rare
1561,Rare
1562,Legendary
1563,Legendary
1564,Common
1565,Common
1566,Rare
1567,Rare
1568,Legendary
1569,Common
1570,Very Rare
1571,Rare
1572,Common
1573,Very Rare
1574,Very Rare
1575,Very Rare
1576,Rare
1577,Common
1578,Legendary
1579,Common
1580,Very Rare
1581,Legendary
1582,Common
1583,Common
1584,Rare
1585,Very Rare
1586,Common
1587,Rare
1588,Common
1589,Rare
1590,Very Rare
1591,Legendary
1592,Very Rare
1593,Rare
1594,Rare
1595,Legendary
1596,Common
1597,Very Rare
1598,Rare
1599,Rare
1600,Common
1601,Very Rare
1602,Legendary
1603,Common
1604,Rare
1605,Legendary
1606,Rare
1607,Very Rare
1608,Rare
1609,Rare
1610,Very Rare
1611,Rare
1612,Common
1613,Rare
1614,Common
1615,Very Rare
1616,Very Rare
1617,Common
1618,Rare
1619,Very Rare
1620,Rare
1621,Common
1622,Rare
1623,Very Rare
1624,Common
1625,Very Rare
1626,Rare
1627,Legendary
1628,Legendary
1629,Common
1630,Rare
1631,Rare
1632,Common
1633,Rare
1634,Common
1635,Rare
1636,Common
1637,Very Rare
1638,Very Rare
1639,Rare
1640,Common
1641,Common
1642,Very Rare
1643,Common
1644,Very Rare
1645,Very Rare
1646,Very Rare
1647,Rare
1648,Legendary
1649,Common
1650,Very Rare
1651,Very Rare
1652,Common
1653,Common
1654,Legendary
1655,Common
1656,Rare
1657,Very Rare
1658,Legendary
1659,Legendary
1660,Common
1661,Rare
1662,Rare
1663,Very Rare
1664,Common
1665,Legendary
1666,Rare
1667,Very Rare
1668,Legendary
1669,Common
1670,Legendary
1671,Rare
1672,Common
1673,Very Rare
1674,Legendary
1675,Rare
1676,Rare
1677,Very Rare
1678,Common
1679,Common
1680,Legendary
1681,Very Rare
1682,Very Rare
1683,Very Rare
1684,Rare
1685,Legendary
1686,Legendary
1687,Very Rare
1688,Common
1689,Very Rare
1690,Legendary
1691,Common
1692,Rare
1693,Common
1694,Rare
1695,Common
1696,Rare
1697,Legendary
1698,Common
1699,Common
1700,Rare
1701,Common
1702,Legendary
1703,Rare
1704,Very Rare
1705,Legendary
1706,Common
1707,Very Rare
1708,Common
1709,Legendary
1710,Legendary
1711,Rare
1712,Very Rare
1713,Legendary
1714,Very Rare
1715,Common
1716,Common
1717,Legendary
1718,Legendary
1719,Legendary
1720,Common
1721,Legendary
1722,Common
1723,Very Rare
1724,Rare
1725,Very Rare
1726,Common
1727,Very Rare
1728,Very Rare
1729,Very Rare
1730,Common
1731,Common
1732,Rare
1733,Very Rare
1734,Rare
1735,Common
1736,Rare
1737,Common
1738,Legendary
1739,Legendary
1740,Common
1741,Rare
1742,Common
1743,Legendary
1744,Rare
1745,Rare
1746,Legendary
1747,Rare
1748,Very Rare
1749,Common
1750,Common
1751,Legendary
1752,Rare
1753,Very Rare
1754,Common
1755,Rare
1756,Legendary
1757,Very Rare
1758,Common
1759,Very Rare
1760,Common
1761,Very Rare
1762,Common
1763,Rare
1764,Very Rare
1765,Rare
1766,Very Rare
1767,Rare
1768,Very Rare
1769,Very Rare
1770,Legendary
1771,Common
1772,Common
1773,Legendary
1774,Very Rare
1775,Rare
1776,Legendary
1777,Rare
1778,Legendary
1779,Very Rare
1780,Very Rare
1781,Legendary
1782,Common
1783,Common
1784,Rare
1785,Common
1786,Very Rare
1787,Common
1788,Legendary
1789,Very Rare
1790,Legendary
1791,Very Rare
1792,Common
1793,Very Rare
1794,Legendary
1795,Rare
1796,Common
1797,Rare
1798,Legendary
1799,Common
1800,Legendary
1801,Rare
1802,Rare
1803,Very Rare
1804,Legendary
1805,Common
1806,Legendary
1807,Very Rare
1808,Very Rare
1809,Rare
1810,Rare
1811,Common
1812,Rare
1813,Common
1814,Rare
1815,Rare
1816,Very Rare
1817,Legendary
1818,Legendary
1819,Legendary
1820,Rare
1821,Common
1822,Very Rare
1823,Rare
1824,Legendary
1825,Rare
1826,Very Rare
1827,Very Rare
1828,Very Rare
1829,Common
1830,Very Rare
1831,Common
1832,Rare
1833,Very Rare
1834,Rare
1835,Very Rare
1836,Rare
1837,Legendary
1838,Common
1839,Common
1840,Legendary
1841,Rare
1842,Common
1843,Legendary
1844,Common
1845,Legendary
1846,Very Rare
1847,Common
1848,Legendary
1849,Common
1850,Very Rare
1851,Rare
1852,Rare
1853,Common
1854,Very Rare
1855,Legendary
1856,Common
1857,Common
1858,Common
1859,Very Rare
1860,Rare
1861,Very Rare
1862,Legendary
1863,Rare
1864,Legendary
1865,Common
1866,Rare
1867,Rare
1868,Legendary
1869,Common
1870,Legendary
1871,Legendary
1872,Rare
1873,Common
1874,Legendary
1875,Common
1876,Rare
1877,Legendary
1878,Rare
1879,Common
1880,Very Rare
1881,Legendary
1882,Legendary
1883,Legendary
1884,Legendary
1885,Very Rare
1886,Legendary
1887,Common
1888,Legendary
1889,Very Rare
1890,Legendary
1891,Rare
1892,Very Rare
1893,Rare
1894,Common
1895,Rare
1896,Very Rare
1897,Very Rare
1898,Very Rare
1899,Common
1900,Common
1901,Legendary
1902,Common
1903,Rare
1904,Common
1905,Common
1906,Common
1907,Common
1908,Common
1909,Legendary
1910,Rare
1911,Rare
1912,Rare
1913,Very Rare
1914,Very Rare
1915,Rare
1916,Rare
1917,Rare
1918,Legendary
1919,Legendary
1920,Legendary
1921,Very Rare
1922,Legendary
1923,Common
1924,Legendary
1925,Very Rare
1926,Rare
1927,Common
1928,Very Rare
1929,Very Rare
1930,Very Rare
1931,Common
1932,Legendary
1933,Very Rare
1934,Common
1935,Rare
1936,Common
1937,Common
1938,Legendary
1939,Rare
1940,Very Rare
1941,Legendary
1942,Common
1943,Rare
1944,Rare
1945,Common
1946,Rare
1947,Common
1948,Very Rare
1949,Legendary
1950,Rare
1951,Rare
1952,Rare
1953,Rare
1954,Rare
1955,Very Rare
1956,Very Rare
1957,Rare
1958,Legendary
1959,Very Rare
1960,Very Rare
1961,Legendary
1962,Common
1963,Legendary
1964,Legendary
1965,Very Rare
1966,Rare
1967,Legendary
1968,Very Rare
1969,Common
1970,Very Rare
1971,Very Rare
1972,Legendary
1973,Legendary
1974,Very Rare
1975,Very Rare
1976,Rare
1977,Common
1978,Very Rare
1979,Very Rare
1980,Common
1981,Very Rare
1982,Common
1983,Common
1984,Common
1985,Legendary
1986,Rare
1987,Common
1988,Rare
1989,Rare
1990,Common
1991,Rare
1992,Common
1993,Very Rare
1994,Very Rare
1995,Common
1996,Legendary
1997,Common
1998,Very Rare
1999,Common
2000,Legendary
2001,Rare
2002,Legendary
2003,Common
2004,Legendary
2005,Common
2006,Common
