Disposal_ID,Book_ID,Employee_ID,Disposal_Method,Material_of_Book,Date
9437347,21846,1023,Shredding,Metal,2024-03-23
2359460,3549,1005,Donation,Leather,2023-02-21
1048745,16384,1014,Incineration,Metal,2024-10-11
3932330,23709,1024,Donation,Leather,2024-12-19
1704108,363,1005,Recycling,Leather,2024-03-24
1704115,67388,1002,Repurposing,Leather,2023-02-08
4194490,83546,1013,Repurposing,Metal,2024-11-19
9044161,15817,1028,Incineration,Metal,2023-08-29
9699537,77925,1013,Shredding,Synthetic,2024-05-10
3014874,42389,1024,Donation,Metal,2024-06-26
2097376,56398,1013,Recycling,Metal,2023-05-18
1704163,90302,1023,Burial,Leather,2024-11-23
2883825,70162,1013,Incineration,Synthetic,2023-08-21
4325626,19485,1014,Recycling,Leather,2024-07-25
1442053,34403,1023,Shredding,Synthetic,2023-07-24
2883855,14852,1014,Donation,Metal,2024-12-19
3932434,264,1013,Shredding,Paper,2024-04-10
2621725,34455,1013,Burial,Metal,2023-09-28
8913182,84325,1023,Burial,Paper,2023-11-01
2883874,6855,1014,Donation,Paper,2024-07-14
3932482,86411,1008,Incineration,Leather,2023-02-15
8520006,27049,1002,Recycling,Synthetic,2023-03-02
5636439,49457,1014,Recycling,Paper,2024-07-29
7602527,41999,1023,Burial,Paper,2024-05-09
1966438,58101,1024,Donation,Paper,2024-07-03
6947176,71878,1008,Donation,Synthetic,2024-04-19
3015019,73893,1005,Recycling,Synthetic,2023-06-21
4981104,54941,1013,Burial,Paper,2023-04-20
6553979,65282,1005,Shredding,Leather,2023-03-11
6422912,35844,1019,Burial,Paper,2024-02-03
2359681,85648,1019,Repurposing,Leather,2024-06-30
2359696,13519,1005,Incineration,Leather,2024-07-16
2621842,62784,1013,Incineration,Paper,2024-03-06
4719006,66136,1008,Donation,Synthetic,2023-11-26
9830833,14888,1005,Donation,Synthetic,2023-05-06
5767606,72274,1019,Incineration,Paper,2024-07-05
9437624,65953,1024,Shredding,Paper,2023-11-14
8389049,77971,1005,Incineration,Synthetic,2023-06-26
9437634,32533,1014,Donation,Synthetic,2023-02-20
5112264,91863,1024,Shredding,Synthetic,2023-08-30
8651209,93859,1002,Recycling,Paper,2023-07-07
9437643,43749,1028,Incineration,Synthetic,2023-02-24
6422995,9693,1008,Incineration,Metal,2025-01-11
5243351,43902,1013,Repurposing,Synthetic,2023-05-10
3146219,97823,1008,Incineration,Leather,2024-05-18
1049076,23113,1024,Donation,Metal,2023-09-09
4850166,26205,1019,Recycling,Paper,2023-11-04
2097655,51330,1023,Incineration,Metal,2024-01-14
6947321,88871,1013,Donation,Paper,2024-12-13
9044487,20671,1008,Incineration,Synthetic,2024-07-09
4588044,61584,1028,Shredding,Metal,2023-12-22
8389138,10290,1023,Repurposing,Leather,2023-08-27
9699859,18634,1024,Shredding,Metal,2024-03-08
8651286,11,1005,Shredding,Metal,2024-09-15
5898775,38527,1005,Incineration,Synthetic,2023-11-23
6685213,72190,1008,Incineration,Metal,2023-04-23
9306654,55387,1013,Shredding,Leather,2024-09-22
9568813,81718,1014,Incineration,Metal,2023-10-21
9175598,97245,1028,Incineration,Leather,2023-08-12
1835574,93868,1014,Shredding,Synthetic,2023-02-28
8651324,81339,1014,Recycling,Paper,2024-02-15
9962052,66989,1023,Burial,Paper,2023-08-13
2490954,21538,1019,Repurposing,Synthetic,2023-06-01
3015247,58541,1008,Incineration,Paper,2024-07-28
1442384,26802,1024,Incineration,Synthetic,2023-02-27
2359903,8490,1005,Recycling,Synthetic,2024-05-06
1049189,60544,1008,Incineration,Paper,2024-10-02
6816358,66141,1008,Donation,Paper,2024-09-10
8258151,81036,1028,Recycling,Paper,2023-10-11
2884205,37701,1008,Shredding,Leather,2023-03-01
4194936,58778,1024,Burial,Paper,2023-05-05
4719227,6038,1019,Burial,Paper,2024-01-05
4194940,11468,1013,Repurposing,Paper,2023-04-28
7864962,94389,1024,Incineration,Metal,2023-04-10
5374617,27470,1023,Incineration,Synthetic,2024-11-18
2884258,13859,1008,Donation,Synthetic,2023-06-03
9568931,17118,1024,Shredding,Leather,2023-03-19
9044649,92862,1019,Repurposing,Metal,2023-05-05
6554284,20938,1013,Burial,Paper,2023-07-19
7865017,42403,1008,Incineration,Leather,2023-05-17
4850363,98059,1014,Donation,Metal,2024-09-08
7865020,49967,1024,Burial,Metal,2024-10-06
3932868,84701,1028,Repurposing,Leather,2024-02-19
9175748,82987,1014,Incineration,Synthetic,2024-10-24
6816455,82732,1028,Recycling,Metal,2024-08-15
8651469,15072,1013,Donation,Synthetic,2023-08-15
4850382,83954,1019,Donation,Metal,2024-03-02
4457172,82979,1014,Repurposing,Leather,2023-12-12
9175771,39810,1005,Shredding,Paper,2024-03-05
7340775,31011,1014,Burial,Leather,2024-05-20
4719336,34203,1019,Donation,Synthetic,2024-03-17
5767911,44520,1028,Recycling,Metal,2024-07-15
1442539,74717,1019,Burial,Leather,2024-05-10
7471862,17634,1005,Burial,Paper,2023-09-13
7996150,46526,1024,Recycling,Leather,2023-04-26
9175801,23101,1023,Burial,Metal,2024-07-12
7865088,28976,1028,Recycling,Paper,2024-01-07
5899023,70651,1002,Incineration,Paper,2023-03-24
2753304,53957,1023,Burial,Synthetic,2024-02-23
2884378,16494,1002,Burial,Leather,2023-10-26
5374749,85735,1008,Incineration,Synthetic,2024-05-21
3539745,98275,1028,Donation,Paper,2024-10-25
4064035,75232,1005,Shredding,Synthetic,2024-01-11
2622245,11365,1005,Incineration,Synthetic,2023-06-25
5767975,45575,1028,Shredding,Leather,2024-12-12
4850488,50313,1008,Donation,Paper,2023-02-20
3146554,74854,1014,Shredding,Paper,2023-02-14
2622279,37249,1028,Incineration,Paper,2023-05-30
6030152,15541,1028,Recycling,Metal,2025-01-11
6161236,9556,1024,Donation,Synthetic,2023-09-18
1180501,30942,1028,Incineration,Paper,2024-05-05
7603033,31557,1002,Shredding,Synthetic,2023-12-06
7209821,60822,1005,Donation,Metal,2024-01-15
6030183,21923,1008,Burial,Leather,2023-02-18
5899125,85494,1028,Shredding,Leather,2023-01-16
1180542,4640,1002,Recycling,Metal,2024-04-18
2491269,31957,1028,Shredding,Leather,2023-03-02
4457349,26396,1014,Donation,Paper,2024-05-26
1442702,21207,1019,Incineration,Synthetic,2024-12-14
3670932,9293,1019,Recycling,Synthetic,2024-10-01
7603092,45161,1028,Repurposing,Synthetic,2024-03-27
1049504,78027,1023,Donation,Leather,2023-05-28
1704869,38114,1024,Incineration,Synthetic,2023-10-31
5768119,82653,1024,Incineration,Metal,2023-04-28
3802042,68454,1008,Burial,Leather,2024-08-06
8782800,66840,1002,Shredding,Leather,2023-02-12
6423506,24124,1028,Recycling,Synthetic,2024-01-02
5243875,57075,1002,Recycling,Paper,2023-04-05
6030310,9579,1019,Incineration,Metal,2024-08-02
8389616,33592,1024,Burial,Metal,2024-03-03
5637111,38310,1019,Burial,Paper,2024-01-23
7209979,17343,1024,Incineration,Leather,2024-12-28
1573886,951,1028,Incineration,Metal,2024-10-30
5374976,91155,1002,Burial,Leather,2025-01-10
3408912,29452,1013,Repurposing,Metal,2023-08-01
9831458,88829,1008,Recycling,Paper,2023-06-27
4981799,82029,1014,Donation,Synthetic,2024-01-30
9962536,79415,1028,Repurposing,Paper,2024-07-06
1180718,97825,1024,Donation,Leather,2023-09-12
1049654,18598,1008,Recycling,Metal,2023-12-06
4850751,79323,1014,Donation,Leather,2023-04-23
9700418,68937,1014,Burial,Synthetic,2024-05-19
5768260,21227,1023,Donation,Paper,2023-02-11
3408968,26087,1002,Shredding,Paper,2024-05-25
9438308,19939,1005,Shredding,Synthetic,2023-03-27
4326507,9916,1002,Repurposing,Leather,2023-04-23
7079021,31191,1019,Donation,Synthetic,2023-06-17
3409021,83995,1023,Repurposing,Metal,2024-12-21
5375104,38007,1008,Repurposing,Paper,2024-08-21
3671169,21286,1014,Shredding,Metal,2023-04-10
3409029,69749,1002,Burial,Leather,2024-06-21
5768342,99402,1002,Incineration,Paper,2023-12-08
6423703,12022,1013,Donation,Metal,2023-07-02
4326556,12920,1028,Shredding,Leather,2023-02-12
6030495,15257,1013,Shredding,Paper,2023-05-17
7210143,28285,1023,Repurposing,Synthetic,2024-08-03
1967267,95835,1013,Donation,Leather,2024-08-16
5112999,61572,1008,Donation,Leather,2023-10-11
9831615,73266,1013,Donation,Leather,2024-02-29
1836233,2369,1024,Burial,Paper,2024-02-08
2753741,23670,1024,Burial,Paper,2023-05-11
9045199,33984,1008,Recycling,Leather,2024-05-06
7472338,54863,1024,Repurposing,Synthetic,2023-02-13
9831637,50907,1023,Repurposing,Metal,2023-02-22
5637340,65639,1028,Repurposing,Paper,2024-10-06
2360541,50609,1024,Shredding,Paper,2024-04-03
1049832,48301,1024,Recycling,Leather,2023-12-30
5375211,12173,1024,Repurposing,Leather,2024-02-11
5637356,64681,1005,Repurposing,Paper,2024-06-12
3015915,59708,1008,Recycling,Leather,2023-07-29
4850927,55256,1005,Shredding,Leather,2024-12-11
4850931,12901,1024,Incineration,Metal,2023-04-25
4064500,64595,1028,Burial,Metal,2024-09-20
4326654,52420,1013,Recycling,Metal,2023-06-26
2229502,47355,1023,Repurposing,Synthetic,2023-04-17
2360588,95969,1008,Incineration,Metal,2024-04-26
7603470,74711,1013,Recycling,Metal,2024-03-17
7734552,2684,1008,Donation,Leather,2023-08-18
7734556,86100,1028,Recycling,Synthetic,2023-10-29
2753829,96409,1023,Shredding,Metal,2023-12-25
4850986,84824,1014,Recycling,Synthetic,2023-08-11
4719915,95858,1002,Recycling,Leather,2024-03-24
8783150,40050,1028,Incineration,Paper,2023-08-23
8914234,29685,1014,Recycling,Paper,2023-10-08
2622783,15206,1002,Repurposing,Metal,2024-05-05
7603521,40164,1002,Shredding,Metal,2023-04-04
1836353,77000,1008,Incineration,Metal,2023-03-15
9045318,5206,1002,Donation,Metal,2024-11-03
1181008,64101,1002,Incineration,Synthetic,2023-09-25
8914263,38926,1002,Shredding,Synthetic,2023-11-07
2491743,93757,1023,Repurposing,Leather,2023-09-11
2229615,33905,1002,Incineration,Leather,2024-07-03
3147122,52434,1014,Incineration,Leather,2023-09-15
3933556,59913,1028,Burial,Paper,2024-09-08
5244281,92651,1013,Repurposing,Synthetic,2023-03-08
7210368,60284,1019,Shredding,Paper,2023-08-22
1967493,32370,1019,Burial,Paper,2023-07-04
5113224,49695,1002,Incineration,Paper,2024-02-12
4851085,71007,1008,Repurposing,Synthetic,2024-02-14
4720016,11732,1005,Shredding,Synthetic,2023-12-24
6423954,2057,1019,Donation,Synthetic,2023-12-26
3409298,71336,1014,Donation,Leather,2023-09-09
6555032,37079,1019,Shredding,Synthetic,2024-01-29
7603618,73955,1008,Burial,Paper,2024-07-13
1836452,35956,1019,Burial,Leather,2023-12-11
4588972,79928,1008,Incineration,Leather,2023-08-29
3933612,48001,1024,Repurposing,Leather,2024-10-12
1443254,17029,1008,Incineration,Leather,2024-04-19
2491832,5318,1028,Repurposing,Metal,2024-01-24
2753996,58519,1023,Donation,Paper,2024-06-14
2098637,64549,1023,Repurposing,Leather,2023-02-24
4720079,23701,1019,Repurposing,Synthetic,2024-04-19
8914403,2902,1019,Repurposing,Metal,2024-07-24
9700845,19357,1002,Burial,Synthetic,2024-01-25
2360830,11156,1008,Shredding,Synthetic,2023-02-21
9963007,44914,1013,Donation,Synthetic,2023-09-09
7603721,70467,1019,Donation,Leather,2023-11-30
7472656,49322,1014,Shredding,Leather,2024-12-06
7734801,64196,1013,Repurposing,Synthetic,2024-12-18
8652306,56587,1028,Donation,Synthetic,2024-08-16
2491929,19889,1005,Burial,Synthetic,2023-02-16
3540505,33509,1014,Shredding,Paper,2024-06-03
9831966,39731,1028,Incineration,Leather,2023-02-02
2754111,8648,1024,Repurposing,Synthetic,2024-12-25
8390214,16726,1023,Shredding,Paper,2023-11-02
1181267,29840,1023,Incineration,Leather,2023-10-23
4458069,5053,1008,Repurposing,Leather,2023-10-20
3933785,25158,1013,Incineration,Paper,2024-03-25
8259173,9884,1008,Shredding,Metal,2024-04-09
3278447,81022,1002,Burial,Paper,2024-05-15
1312370,15023,1002,Burial,Synthetic,2023-02-14
5768825,35439,1005,Donation,Leather,2023-04-20
5244558,27869,1019,Donation,Leather,2024-11-08
1705616,2476,1008,Burial,Paper,2024-11-08
6424218,5853,1023,Repurposing,Metal,2023-01-31
9438878,11661,1002,Recycling,Leather,2023-11-02
1705634,85627,1019,Repurposing,Metal,2024-10-05
3671720,65225,1019,Repurposing,Metal,2024-03-14
6031024,77675,1019,Recycling,Metal,2023-02-19
6555316,76290,1002,Incineration,Metal,2024-08-10
3540664,71805,1028,Shredding,Paper,2024-12-21
4982458,54196,1013,Burial,Synthetic,2023-03-12
2623162,75051,1008,Donation,Paper,2024-09-02
1967806,94932,1013,Burial,Leather,2023-08-27
5506758,16828,1013,Repurposing,Leather,2024-08-24
9176774,16466,1002,Shredding,Leather,2023-04-26
6424267,37654,1024,Recycling,Paper,2024-07-19
9438933,40430,1014,Donation,Metal,2024-11-02
4327136,80406,1023,Donation,Synthetic,2024-02-26
7603950,17502,1019,Recycling,Paper,2024-04-05
5768952,10870,1028,Burial,Metal,2023-05-30
8914684,32728,1013,Repurposing,Leather,2024-08-18
2623230,24528,1008,Shredding,Paper,2024-11-19
5506815,6368,1005,Incineration,Metal,2024-07-29
3278592,9454,1014,Incineration,Paper,2024-06-27
5113610,30138,1023,Incineration,Paper,2024-02-03
6031115,62255,1024,Repurposing,Paper,2024-08-06
5506832,19271,1019,Incineration,Synthetic,2024-02-23
3278620,45222,1024,Incineration,Synthetic,2024-03-24
3933989,90605,1005,Recycling,Synthetic,2024-10-28
3671862,19964,1008,Incineration,Paper,2023-12-20
4851521,93712,1002,Burial,Synthetic,2024-07-25
4458315,39365,1014,Donation,Paper,2023-10-29
9176916,49175,1008,Burial,Paper,2024-09-28
6424407,24686,1023,Recycling,Leather,2023-12-08
6424413,70788,1024,Shredding,Paper,2024-07-05
9176927,57831,1019,Incineration,Metal,2024-11-26
2492264,66722,1024,Recycling,Leather,2024-08-15
1050502,12277,1019,Recycling,Paper,2023-06-01
2099088,18209,1014,Repurposing,Synthetic,2024-08-08
5506961,45559,1014,Burial,Metal,2024-02-13
3278743,58608,1023,Incineration,Synthetic,2024-03-21
1836954,21902,1028,Burial,Metal,2024-04-02
8783780,13,1019,Burial,Paper,2024-10-05
9701288,64470,1014,Recycling,Paper,2023-06-07
9177002,63758,1023,Donation,Synthetic,2023-10-10
7079855,59307,1028,Recycling,Leather,2024-10-03
6293428,33241,1002,Incineration,Paper,2023-06-22
2361268,67609,1023,Incineration,Paper,2023-08-16
1312692,81961,1019,Shredding,Leather,2023-09-17
8259517,52905,1008,Burial,Metal,2023-07-30
6031293,812,1019,Repurposing,Synthetic,2023-04-11
8390597,53672,1008,Shredding,Leather,2023-11-11
5113799,87628,1008,Repurposing,Synthetic,2023-02-08
4720587,19042,1024,Incineration,Paper,2024-10-10
4458449,1770,1028,Recycling,Leather,2024-03-06
4982739,63540,1008,Shredding,Synthetic,2023-01-31
7473139,71977,1019,Repurposing,Paper,2023-10-27
2099202,23293,1023,Incineration,Synthetic,2023-04-03
1181700,72565,1024,Repurposing,Paper,2023-09-17
8783882,43003,1028,Donation,Leather,2023-03-24
7211026,10458,1014,Shredding,Synthetic,2024-10-30
7342107,75192,1008,Donation,Paper,2024-05-29
8914994,78341,1023,Incineration,Metal,2024-05-24
7997504,40873,1023,Donation,Metal,2024-09-05
8652886,21720,1008,Recycling,Paper,2024-07-21
7997530,5938,1014,Donation,Synthetic,2023-06-22
6948955,50220,1008,Incineration,Paper,2023-08-02
6293596,50016,1008,Burial,Synthetic,2024-09-07
3016810,49573,1028,Burial,Metal,2024-11-27
1706101,37092,1002,Shredding,Metal,2024-03-15
6031479,25521,1023,Shredding,Synthetic,2024-06-01
8390775,20313,1014,Incineration,Synthetic,2024-02-18
4720768,47,1008,Burial,Paper,2024-02-22
9046152,1091,1019,Incineration,Synthetic,2023-08-14
7866504,35289,1005,Repurposing,Leather,2023-07-20
2230408,44320,1013,Recycling,Synthetic,2024-07-22
3934347,67161,1024,Recycling,Paper,2023-11-27
6686858,48348,1013,Repurposing,Metal,2023-10-24
4327577,67036,1008,Incineration,Paper,2023-03-19
2623646,65147,1028,Shredding,Synthetic,2024-04-21
9701534,83238,1014,Donation,Synthetic,2023-08-18
9832609,9148,1008,Incineration,Paper,2024-01-10
4458667,64180,1005,Shredding,Synthetic,2024-12-20
2492604,29600,1014,Burial,Synthetic,2024-04-12
8784079,45419,1028,Shredding,Paper,2024-07-26
2754782,16921,1002,Incineration,Metal,2024-09-20
3410152,44783,1023,Recycling,Synthetic,2023-03-23
7735532,30457,1014,Shredding,Leather,2023-12-18
1313012,82240,1014,Donation,Leather,2023-11-22
2230531,38177,1005,Shredding,Synthetic,2023-03-18
8784146,74426,1028,Donation,Paper,2023-09-06
2754838,16141,1024,Recycling,Synthetic,2023-05-11
2230552,82784,1014,Donation,Leather,2023-10-23
5507354,3730,1014,Repurposing,Paper,2023-04-18
6293786,94282,1019,Recycling,Synthetic,2023-06-01
5245216,43358,1028,Burial,Leather,2023-05-05
4720943,64053,1008,Shredding,Metal,2024-03-01
1444146,15942,1019,Repurposing,Leather,2024-07-31
1837363,4911,1005,Burial,Synthetic,2023-08-22
3279170,60709,1019,Donation,Leather,2024-06-27
1313095,39472,1002,Incineration,Paper,2023-02-18
5376331,25911,1024,Donation,Synthetic,2024-12-23
4589920,16616,1002,Shredding,Metal,2023-08-26
3672417,26477,1023,Shredding,Metal,2023-11-12
8784233,92642,1019,Incineration,Paper,2024-06-05
3934573,63510,1008,Repurposing,Paper,2024-10-27
6031729,10178,1008,Shredding,Leather,2023-05-07
6687091,75217,1013,Burial,Synthetic,2024-08-05
5376372,78569,1005,Donation,Leather,2023-03-13
5900669,38067,1028,Recycling,Metal,2023-06-16
1182077,1719,1002,Recycling,Metal,2024-05-07
3541373,31008,1019,Shredding,Paper,2024-06-20
5900675,76033,1024,Recycling,Metal,2024-03-07
9308554,6385,1008,Donation,Leather,2023-12-15
6818189,85793,1013,Repurposing,Synthetic,2023-11-30
4458897,5662,1005,Burial,Paper,2024-07-25
7866777,72155,1028,Incineration,Synthetic,2023-03-20
5376413,33179,1005,Recycling,Synthetic,2024-01-28
1706406,16173,1002,Burial,Paper,2024-11-16
5376431,14732,1019,Recycling,Metal,2024-07-26
4590004,67486,1005,Burial,Synthetic,2023-11-07
9439669,36534,1008,Recycling,Leather,2023-12-17
3672516,40268,1008,Shredding,Synthetic,2024-01-18
6425031,95604,1005,Shredding,Metal,2025-01-03
8391121,67015,1019,Repurposing,Synthetic,2024-10-29
8653278,33770,1019,Repurposing,Paper,2024-09-07
2099686,69973,1005,Donation,Synthetic,2024-05-21
8915438,29851,1002,Donation,Synthetic,2023-05-27
6294007,31299,1028,Burial,Leather,2024-08-07
8391160,94726,1002,Repurposing,Synthetic,2023-08-24
4459007,47617,1028,Recycling,Paper,2023-01-28
7735809,66269,1023,Recycling,Synthetic,2024-09-25
7211535,59894,1002,Shredding,Leather,2023-05-07
4852249,56370,1008,Burial,Leather,2023-06-11
1575451,32384,1024,Repurposing,Synthetic,2024-05-17
6687266,50536,1024,Burial,Paper,2023-03-18
3148335,7027,1019,Incineration,Metal,2024-01-22
3672630,57669,1005,Recycling,Synthetic,2024-06-15
5638723,10685,1028,Donation,Synthetic,2023-08-21
9701956,12999,1019,Shredding,Paper,2025-01-03
6163015,88808,1008,Burial,Paper,2024-02-16
7735884,39695,1028,Incineration,Leather,2023-06-28
9308764,63873,1008,Shredding,Paper,2024-12-25
5376607,10075,1014,Recycling,Paper,2024-05-12
4196967,64995,1023,Incineration,Paper,2024-04-06
3279470,40281,1028,Burial,Synthetic,2024-03-19
9570928,17969,1002,Recycling,Metal,2023-07-08
3672697,36031,1008,Burial,Metal,2023-11-10
1837690,9773,1002,Shredding,Metal,2025-01-12
7867004,8093,1002,Recycling,Metal,2024-03-28
1837692,64856,1023,Repurposing,Leather,2024-08-16
4852351,61899,1023,Recycling,Paper,2024-05-08
5114495,51365,1005,Incineration,Synthetic,2024-12-31
5245574,16511,1005,Recycling,Leather,2023-11-03
9177738,56691,1014,Burial,Leather,2024-03-22
9833100,31036,1028,Incineration,Leather,2023-03-13
7998117,3945,1013,Incineration,Paper,2024-09-06
8391337,2560,1002,Repurposing,Paper,2024-04-07
4459177,59820,1028,Burial,Paper,2023-01-25
8129196,97038,1019,Repurposing,Metal,2024-10-08
8653500,19847,1005,Donation,Paper,2023-08-12
5114578,19060,1008,Recycling,Paper,2023-09-06
5769942,92389,1019,Burial,Leather,2024-02-05
8653544,2018,1019,Incineration,Metal,2023-05-05
2624234,30087,1024,Donation,Synthetic,2024-03-28
8653551,28264,1023,Burial,Synthetic,2024-01-23
2362098,55025,1002,Donation,Synthetic,2024-08-14
3148531,17446,1014,Incineration,Paper,2023-09-28
5901051,40316,1008,Shredding,Leather,2024-09-28
4983552,50765,1005,Repurposing,Leather,2024-10-28
9833217,17626,1002,Incineration,Synthetic,2024-06-04
6425354,86280,1028,Shredding,Metal,2023-11-21
6163211,9893,1014,Recycling,Leather,2024-12-30
9571083,41930,1008,Donation,Metal,2024-02-05
9833245,74388,1013,Donation,Paper,2024-12-24
5901085,54699,1019,Repurposing,Metal,2025-01-05
7867177,13650,1023,Donation,Metal,2024-04-16
5770029,90705,1008,Donation,Metal,2023-07-31
4852529,59173,1014,Donation,Leather,2023-06-27
9440050,27840,1023,Recycling,Metal,2023-02-22
5507905,21581,1008,Donation,Synthetic,2024-12-24
5770055,66251,1013,Repurposing,Paper,2023-09-28
6032214,95227,1014,Shredding,Synthetic,2023-02-17
6163287,2884,1008,Donation,Leather,2023-01-27
9702235,66957,1002,Donation,Paper,2024-07-18
4459361,34339,1028,Incineration,Leather,2024-07-08
4983649,19032,1002,Recycling,Metal,2025-01-01
2362213,46008,1024,Recycling,Metal,2024-05-11
2493290,47788,1019,Repurposing,Paper,2023-01-26
2886510,98555,1014,Burial,Metal,2024-03-07
9833329,97664,1002,Incineration,Metal,2024-07-21
7998332,86489,1028,Recycling,Metal,2024-11-22
1444735,66642,1024,Incineration,Metal,2024-05-05
2624399,89032,1008,Burial,Metal,2023-07-08
5507986,32296,1013,Shredding,Leather,2025-01-14
5507988,17593,1028,Recycling,Synthetic,2023-09-22
1313697,70378,1014,Recycling,Paper,2023-01-31
2100130,88397,1023,Recycling,Synthetic,2023-01-29
3148753,78597,1008,Incineration,Synthetic,2023-02-25
2493399,50752,1024,Incineration,Metal,2023-07-01
5770206,33352,1023,Repurposing,Leather,2023-10-07
2493406,75180,1002,Burial,Leather,2024-03-13
1575918,97897,1024,Donation,Leather,2023-12-06
5901300,59488,1002,Donation,Leather,2023-01-22
6556675,76741,1019,Burial,Leather,2024-06-16
3410950,62464,1002,Recycling,Paper,2024-01-29
3148820,85482,1023,Shredding,Synthetic,2024-04-12
5770260,64977,1013,Shredding,Leather,2025-01-03
4459543,71276,1005,Donation,Metal,2024-09-06
9571356,71501,1002,Recycling,Paper,2024-11-19
4590631,94177,1002,Shredding,Synthetic,2024-04-20
9047089,14104,1002,Shredding,Synthetic,2024-12-18
4459570,94982,1013,Repurposing,Paper,2023-11-07
2755635,23677,1008,Shredding,Synthetic,2023-09-22
4066357,55344,1023,Shredding,Paper,2023-11-22
7736387,50084,1028,Recycling,Paper,2024-04-29
9178181,28198,1019,Donation,Leather,2024-01-26
7605321,55011,1008,Incineration,Metal,2023-02-28
5508169,96514,1019,Donation,Leather,2023-07-24
8522825,42762,1024,Incineration,Leather,2023-04-03
5639257,34425,1008,Repurposing,Paper,2024-05-25
8784987,46408,1019,Burial,Paper,2024-01-20
2493542,86816,1028,Shredding,Leather,2024-12-31
4590701,43584,1005,Repurposing,Synthetic,2023-11-11
1838205,27499,1014,Recycling,Synthetic,2024-02-12
3280000,14005,1014,Repurposing,Paper,2023-05-19
4459652,41013,1014,Repurposing,Paper,2023-06-18
7081092,18080,1005,Incineration,Synthetic,2023-10-03
3017863,72831,1028,Donation,Synthetic,2024-01-02
7867529,8623,1028,Incineration,Synthetic,2024-09-01
1445007,70728,1002,Burial,Metal,2023-03-03
3148946,83629,1008,Donation,Metal,2023-12-26
3804309,46490,1024,Donation,Paper,2023-08-09
4197525,98690,1013,Shredding,Paper,2023-08-05
4197526,80195,1019,Burial,Synthetic,2024-02-18
4328601,30971,1013,Incineration,Paper,2024-01-07
5115045,77764,1014,Repurposing,Leather,2023-06-02
7736487,50719,1002,Burial,Leather,2023-07-08
7212202,66972,1002,Recycling,Synthetic,2024-05-01
8654006,49072,1008,Incineration,Metal,2023-03-01
6163646,1570,1008,Recycling,Paper,2024-07-04
3673295,92020,1023,Recycling,Synthetic,2024-04-20
2100432,22175,1002,Repurposing,Metal,2024-05-14
5377235,11981,1002,Burial,Metal,2024-01-25
4984025,12780,1024,Shredding,Leather,2023-05-14
1707227,64794,1028,Repurposing,Metal,2024-08-07
3804385,86803,1014,Recycling,Synthetic,2024-03-19
9178343,31312,1019,Incineration,Paper,2024-09-23
2493673,41860,1014,Burial,Paper,2024-07-14
4852980,19986,1023,Shredding,Leather,2023-03-20
1707254,89089,1028,Incineration,Synthetic,2023-09-01
3542267,89364,1023,Shredding,Leather,2024-03-27
4066560,22744,1028,Donation,Synthetic,2023-06-03
7867661,6469,1013,Shredding,Synthetic,2023-03-27
5639461,33231,1019,Recycling,Metal,2023-12-08
3018021,87790,1019,Recycling,Metal,2024-09-21
6163754,34310,1002,Incineration,Leather,2024-11-08
1183021,30084,1002,Burial,Paper,2023-03-03
4066605,36426,1024,Recycling,Paper,2024-10-31
1969455,15511,1014,Donation,Metal,2024-01-10
8785201,80306,1014,Shredding,Metal,2024-10-28
